,Product Name,Brand,ID,Retail Price,Whole Sale,Supplier,Description
23,Plymouth Boxed Rubber Bands by Plymouth,Carlos Soltero,1412,4.71,0.7,Nunavut,Rubber Bands
24,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Carl Ludwig,1539,15.99,13.18,Nunavut,Binders and Binder Accessories
25,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Carl Ludwig,1539,4.89,4.93,Nunavut,Computer Peripherals
26,Newell 335,Don Miller,1540,2.88,0.7,Nunavut,Pens & Art Supplies
27,SANFORD Liquid Accent™ Tank-Style Highlighters,Annie Cyprus,1702,2.84,0.93,Nunavut,Pens & Art Supplies
28,Canon PC940 Copier,Carl Ludwig,1761,449.99,49,Nunavut,Copiers and Fax
29,"Tenex Personal Project File with Scoop Front Design, Black",Carlos Soltero,1792,13.48,4.51,Nunavut,Storage & Organization
30,Col-Erase® Pencils with Erasers,Grant Carroll,2275,6.08,1.17,Nunavut,Pens & Art Supplies
31,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Don Miller,2277,5.98,4.38,Nunavut,Computer Peripherals
32,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Don Miller,2277,40.99,19.99,Nunavut,Paper
33,Self-Adhesive Address Labels for Typewriters by Universal,Alan Barnes,2532,7.31,0.49,Nunavut,Labels
34,Accessory37,Alan Barnes,2532,20.99,2.5,Nunavut,Telephones and Communication
35,Fuji 5.2GB DVD-RAM,Jack Garza,2631,40.96,1.99,Nunavut,Computer Peripherals
36,Bevis Steel Folding Chairs,Julia West,2757,95.95,74.35,Nunavut,Chairs & Chairmats
37,Avery Binder Labels,Eugene Barchas,2791,3.89,7.01,Nunavut,Binders and Binder Accessories
38,Hon Every-Day® Chair Series Swivel Task Chairs,Eugene Barchas,2791,120.98,30,Nunavut,Chairs & Chairmats
39,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Eugene Barchas,2791,30.98,5.76,Nunavut,Paper
40,Global Troy™ Executive Leather Low-Back Tilter,Edward Hooks,2976,500.98,26,Nunavut,Chairs & Chairmats
41,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,Brad Eason,3232,7.84,4.71,Nunavut,Binders and Binder Accessories
42,Computer Printout Paper with Letter-Trim Perforations,Nicole Hansen,3524,18.97,9.03,Nunavut,Paper
43,6160,Dorothy Wardle,3908,115.99,2.5,Nunavut,Telephones and Communication
44,Avery 49,Aaron Bergman,4132,2.88,0.5,Nunavut,Labels
45,Hoover Portapower™ Portable Vacuum,Jim Radford,4612,4.48,49,Nunavut,Appliances
46,Timeport L7089,Annie Cyprus,4676,125.99,7.69,Nunavut,Telephones and Communication
47,Avery 510,Annie Cyprus,4676,3.75,0.5,Nunavut,Labels
48,Xerox 1881,Annie Cyprus,4676,12.28,6.47,Nunavut,Paper
49,LX 788,Annie Cyprus,4676,155.99,8.99,Nunavut,Telephones and Communication
50,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Annie Cyprus,5284,8.69,2.99,Nunavut,Binders and Binder Accessories
51,"Memorex 4.7GB DVD-RAM, 3/Pack",Clay Rozendal,5316,31.78,1.99,Nunavut,Computer Peripherals
52,Unpadded Memo Slips,Don Jones,5409,3.98,2.97,Nunavut,Paper
53,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Beth Thompson,5506,5.88,3.04,Nunavut,Paper
54,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Frank Price,5569,9.65,6.22,Nunavut,Office Furnishings
55,Bell Sonecor JB700 Caller ID,Michelle Lonsdale,5607,7.99,5.03,Nunavut,Telephones and Communication
56,Avery Arch Ring Binders,Ann Chong,5894,58.1,1.49,Nunavut,Binders and Binder Accessories
57,APC 7 Outlet Network SurgeArrest Surge Protector,Ann Chong,5894,80.48,4.5,Nunavut,Appliances
58,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Joy Bell,5925,92.23,39.61,Nunavut,Office Furnishings
59,Accessory4,Joy Bell,5925,85.99,0.99,Nunavut,Telephones and Communication
60,Personal Creations™ Ink Jet Cards and Labels,Skye Norling,6016,11.48,5.43,Nunavut,Paper
61,High Speed Automatic Electric Letter Opener,Barry Weirich,6116,1637.53,24.49,Nunavut,"Scissors, Rulers and Trimmers"
62,Xerox 1966,Grant Carroll,6182,6.48,6.65,Nunavut,Paper
63,Xerox 213,Grant Carroll,6182,6.48,7.86,Nunavut,Paper
64,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Adrian Hane,6535,28.15,8.99,Nunavut,Pens & Art Supplies
65,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Skye Norling,6884,4.98,4.75,Nunavut,Paper
66,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Skye Norling,6884,6.35,1.02,Nunavut,Paper
67,Crate-A-Files™,Andrew Gjertsen,6916,10.9,7.46,Nunavut,Storage & Organization
68,"Angle-D Binders with Locking Rings, Label Holders",Ralph Knight,6980,7.3,7.72,Nunavut,Binders and Binder Accessories
69,"80 Minute CD-R Spindle, 100/Pack - Staples",Dorothy Wardle,6982,39.48,1.99,Nunavut,Computer Peripherals
70,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Dorothy Wardle,6982,100.98,57.38,Nunavut,Bookcases
71,12-1/2 Diameter Round Wall Clock,Dorothy Wardle,6982,19.98,10.49,Nunavut,Office Furnishings
72,SAFCO Arco Folding Chair,Grant Carroll,7110,276.2,24.49,Nunavut,Chairs & Chairmats
73,"#10 White Business Envelopes,4 1/8 x 9 1/2",Barry Weirich,7430,15.67,1.39,Nunavut,Envelopes
74,3M Office Air Cleaner,Beth Paige,7906,25.98,5.37,Nunavut,Appliances
75,"Global Leather and Oak Executive Chair, Black",Sylvia Foulston,8391,300.98,64.73,Nunavut,Chairs & Chairmats
76,Xerox 1936,Nicole Hansen,8419,19.98,5.97,Nunavut,Paper
77,Xerox 214,Nicole Hansen,8419,6.48,7.03,Nunavut,Paper
78,Carina Double Wide Media Storage Towers in Natural & Black,Nicole Hansen,8833,80.98,35,Nunavut,Storage & Organization
79,Staples® General Use 3-Ring Binders,Beth Paige,8995,1.88,1.49,Nunavut,Binders and Binder Accessories
80,Xerox 1904,Beth Paige,8995,6.48,5.86,Northwest Territories,Paper
81,Luxo Professional Combination Clamp-On Lamps,Beth Paige,8995,102.3,21.26,Northwest Territories,Office Furnishings
82,Xerox 217,Beth Paige,8995,6.48,8.19,Northwest Territories,Paper
83,Revere Boxed Rubber Bands by Revere,Beth Paige,8995,1.89,0.76,Northwest Territories,Rubber Bands
84,"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets",Sylvia Foulston,9126,62.05,3.99,Northwest Territories,Appliances
85,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Bryan Davis,9127,279.48,35,Northwest Territories,Storage & Organization
86,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Joy Bell,9509,320.98,58.95,Northwest Territories,Chairs & Chairmats
87,Xerox 1887,Joy Bell,9509,18.97,5.21,Northwest Territories,Paper
88,Xerox 1891,Joy Bell,9509,48.91,5.81,Northwest Territories,Paper
89,Avery 506,Alan Barnes,9763,4.13,0.5,Northwest Territories,Labels
90,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Grant Carroll,9927,140.98,53.48,Northwest Territories,Bookcases
91,"Lifetime Advantage™ Folding Chairs, 4/Carton",Grant Carroll,9927,218.08,18.06,Northwest Territories,Chairs & Chairmats
92,Microsoft Natural Multimedia Keyboard,Grant Carroll,9927,50.98,6.5,Northwest Territories,Computer Peripherals
93,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Delfina Latchford,10022,10.14,2.27,Northwest Territories,Paper
94,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Don Jones,10437,15.99,13.18,Northwest Territories,Binders and Binder Accessories
95,Bevis Boat-Shaped Conference Table,Doug Bickford,10499,262.11,62.74,Northwest Territories,Tables
96,"Linden® 12"" Wall Clock With Oak Frame",Doug Bickford,10535,33.98,19.99,Northwest Territories,Office Furnishings
97,Newell 326,Doug Bickford,10535,1.76,0.7,Northwest Territories,Pens & Art Supplies
98,Prismacolor Color Pencil Set,Jamie Kunitz,10789,19.84,4.1,Northwest Territories,Pens & Art Supplies
99,Xerox Blank Computer Paper,Anthony Johnson,10791,19.98,5.77,Northwest Territories,Paper
100,600 Series Flip,Ralph Knight,10945,95.99,8.99,Northwest Territories,Telephones and Communication
101,Fellowes Recycled Storage Drawers,Allen Rosenblatt,11137,111.03,8.64,Northwest Territories,Storage & Organization
102,Satellite Sectional Post Binders,Barry Weirich,11202,43.41,2.99,Northwest Territories,Binders and Binder Accessories
103,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Doug Bickford,11456,105.34,24.49,Northwest Territories,Office Furnishings
104,Avery 487,Carl Jackson,11460,3.69,0.5,Northwest Territories,Labels
105,Bevis Round Conference Table Top & Single Column Base,Brendan Dodson,11495,146.34,43.75,Northwest Territories,Tables
106,"GBC Twin Loop™ Wire Binding Elements, 9/16"" Spine, Black",Edward Hooks,11911,15.22,9.73,Northwest Territories,Binders and Binder Accessories
107,Hanging Personal Folder File,Jamie Kunitz,11941,15.7,11.25,Northwest Territories,Storage & Organization
108,"Bevis Round Conference Table Top, X-Base",Jamie Kunitz,11941,179.29,29.21,Northwest Territories,Tables
109,5125,Michelle Lonsdale,12096,200.99,8.08,Northwest Territories,Telephones and Communication
110,Electrix Halogen Magnifier Lamp,Michelle Lonsdale,12096,194.3,11.54,Northwest Territories,Office Furnishings
111,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Brendan Dodson,12289,120.97,7.11,Northwest Territories,Office Machines
112,Fellowes Black Plastic Comb Bindings,Hunter Glantz,12352,5.81,8.49,Northwest Territories,Binders and Binder Accessories
113,Polycom ViewStation™ Adapter H323 Videoconferencing Unit,Sylvia Foulston,12419,1938.02,13.99,Northwest Territories,Office Machines
114,Hon GuestStacker Chair,Eugene Barchas,12485,226.67,28.16,Northwest Territories,Chairs & Chairmats
115,Eldon® Wave Desk Accessories,Jim Radford,12544,2.08,5.33,Northwest Territories,Office Furnishings
116,Sharp AL-1530CS Digital Copier,Carlos Soltero,12704,499.99,24.49,Northwest Territories,Copiers and Fax
117,"Tennsco Lockers, Gray",Carlos Soltero,12704,20.98,53.03,Northwest Territories,Storage & Organization
118,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Carlos Soltero,12771,30.53,19.99,Northwest Territories,Labels
119,Newell 323,Carlos Soltero,12771,1.68,1.57,Northwest Territories,Pens & Art Supplies
120,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Jim Radford,12929,270.98,50,Northwest Territories,Chairs & Chairmats
121,Spiral Phone Message Books with Labels by Adams,Jim Radford,12929,4.48,1.22,Northwest Territories,Paper
122,Crate-A-Files™,Grant Carroll,13280,10.9,7.46,Northwest Territories,Storage & Organization
123,Bell Sonecor JB700 Caller ID,Grant Carroll,13280,7.99,5.03,Northwest Territories,Telephones and Communication
124,Holmes 99% HEPA Air Purifier,Skye Norling,13313,21.66,13.99,Northwest Territories,Appliances
125,Xerox 224,Doug Bickford,13346,6.48,8.88,Northwest Territories,Paper
126,Xerox 1906,Grant Carroll,13702,35.44,7.5,Northwest Territories,Paper
127,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Muhammed MacIntyre,13795,15.99,13.18,Northwest Territories,Binders and Binder Accessories
128,Xerox 188,Muhammed MacIntyre,13795,11.34,5.01,Northwest Territories,Paper
129,Xerox 1932,Muhammed MacIntyre,13795,35.44,5.09,Northwest Territories,Paper
130,GBC Linen Binding Covers,Doug Bickford,14116,30.98,11.63,Northwest Territories,Binders and Binder Accessories
131,GBC Recycled Grain Textured Covers,Doug Bickford,14116,34.54,14.72,Northwest Territories,Binders and Binder Accessories
132,"Sauder Facets Collection Library, Sky Alder Finish",Beth Thompson,14372,170.98,60.49,Northwest Territories,Bookcases
133,"Fellowes Basic 104-Key Keyboard, Platinum",Ralph Knight,14726,20.95,4,Northwest Territories,Computer Peripherals
134,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Carl Jackson,14819,207.48,0.99,Northwest Territories,Appliances
135,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Carl Jackson,14819,58.14,36.61,Northwest Territories,Bookcases
136,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Dorothy Badders,15106,6.64,4.95,Northwest Territories,Office Furnishings
137,Panasonic KX-P1150 Dot Matrix Printer,Dorothy Badders,15106,145.45,17.85,Northwest Territories,Office Machines
138,Newell 327,Dorothy Badders,15106,2.21,1.12,Northwest Territories,Pens & Art Supplies
139,Xerox 1893,Delfina Latchford,15108,40.99,17.48,Northwest Territories,Paper
140,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Julia West,15205,243.98,43.32,Northwest Territories,Chairs & Chairmats
141,Eldon Radial Chair Mat for Low to Medium Pile Carpets,Julia West,15205,39.98,9.2,Northwest Territories,Office Furnishings
142,"DAX Copper Panel Document Frame, 5 x 7 Size",Brad Eason,15591,12.58,5.16,Northwest Territories,Office Furnishings
143,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Thomas Seio,15907,48.58,54.11,Northwest Territories,Bookcases
144,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Thomas Seio,15907,105.98,13.99,Northwest Territories,Office Furnishings
145,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",Thomas Seio,15907,7.04,2.17,Northwest Territories,Paper
146,"Memorex Slim 80 Minute CD-R, 10/Pack",Monica Federle,15937,9.78,1.99,Northwest Territories,Computer Peripherals
147,Aluminum Document Frame,Monica Federle,15937,12.22,2.85,Northwest Territories,Office Furnishings
148,"Memorex 80 Minute CD-R Spindle, 100/Pack",Michelle Lonsdale,16039,43.98,1.99,Northwest Territories,Computer Peripherals
149,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Frank Price,16193,34.76,8.22,Northwest Territories,Storage & Organization
150,Accessory36,Frank Price,16193,55.99,5,Northwest Territories,Telephones and Communication
151,Xerox 20,Bryan Davis,16423,6.48,6.57,Northwest Territories,Paper
152,Surelock™ Post Binders,Don Jones,16451,30.56,2.99,Northwest Territories,Binders and Binder Accessories
153,Colorific® Watercolor Pencils,Carlos Soltero,16545,5.16,0.73,Northwest Territories,Pens & Art Supplies
154,"*Staples* vLetter Openers, 2/Pack",Carlos Soltero,16545,3.68,1.32,Northwest Territories,"Scissors, Rulers and Trimmers"
155,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Nicole Hansen,16547,355.98,58.92,Northwest Territories,Chairs & Chairmats
156,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Nicole Hansen,16547,218.75,69.64,Northwest Territories,Tables
157,Eldon Econocleat® Chair Mats for Low Pile Carpets,Beth Thompson,16706,41.47,34.2,Northwest Territories,Office Furnishings
158,Prang Drawing Pencil Set,Beth Thompson,16706,2.78,1.2,Northwest Territories,Pens & Art Supplies
159,T39m,Beth Thompson,16706,155.99,3.9,Northwest Territories,Telephones and Communication
160,Xerox 1982,Nicole Hansen,16741,22.84,16.87,Northwest Territories,Paper
161,Xerox 1924,Carlos Soltero,16932,5.78,8.09,Northwest Territories,Paper
162,Turquoise Lead Holder with Pocket Clip,Carlos Soltero,16932,6.7,1.56,Northwest Territories,Pens & Art Supplies
163,Okidata ML395C Color Dot Matrix Printer,Dorothy Badders,17283,1360.14,14.7,Northwest Territories,Office Machines
164,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Muhammed MacIntyre,17286,270.98,50,Northwest Territories,Chairs & Chairmats
165,Microsoft Internet Keyboard,Muhammed MacIntyre,17409,20.97,6.5,Northwest Territories,Computer Peripherals
166,Xerox 1982,Don Miller,17764,22.84,16.87,Northwest Territories,Paper
167,Global Ergonomic Managers Chair,Sylvia Foulston,18080,180.98,26.2,Northwest Territories,Chairs & Chairmats
168,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Becky Castell,18113,130.98,30,Northwest Territories,Chairs & Chairmats
169,Xerox 1971,Dorothy Wardle,18144,4.28,5.17,Northwest Territories,Paper
170,Eldon Portable Mobile Manager,Dorothy Wardle,18144,28.28,13.99,Northwest Territories,Storage & Organization
171,Accessory6,Dorothy Wardle,18144,55.99,5,Northwest Territories,Telephones and Communication
172,Durable Pressboard Binders,Ann Chong,18308,3.8,1.49,Northwest Territories,Binders and Binder Accessories
173,Fellowes 17-key keypad for PS/2 interface,Ann Chong,18308,30.73,4,Northwest Territories,Computer Peripherals
174,StarTAC ST7762,Ann Chong,18308,125.99,8.08,Northwest Territories,Telephones and Communication
175,Accessory21,Clay Rozendal,18887,20.99,0.99,Northwest Territories,Telephones and Communication
176,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Grant Carroll,19010,1270.99,19.99,Northwest Territories,Binders and Binder Accessories
177,Staples 6 Outlet Surge,Brendan Dodson,19078,11.97,4.98,Northwest Territories,Appliances
178,Recycled Eldon Regeneration Jumbo File,Carlos Daly,19138,12.28,6.13,Northwest Territories,Storage & Organization
179,Verbatim DVD-R 4.7GB authoring disc,Alan Barnes,19655,39.24,1.99,Northwest Territories,Computer Peripherals
180,Canon P1-DHIII Palm Printing Calculator,Alan Barnes,19686,17.98,8.51,Northwest Territories,Office Machines
181,GBC Binding covers,Alan Barnes,19686,12.95,4.98,Northwest Territories,Binders and Binder Accessories
182,Newell 323,Nicole Hansen,20007,1.68,1.57,Northwest Territories,Pens & Art Supplies
183,"Global Stack Chair without Arms, Black",Cari Schnelling,20071,25.98,14.36,Northwest Territories,Chairs & Chairmats
184,"Speediset Carbonless Redi-Letter® 7"" x 8 1/2""",Chad Cunningham,20160,10.31,1.79,Northwest Territories,Paper
185,GBC Recycled Regency Composition Covers,Bryan Mills,20263,59.78,10.29,Northwest Territories,Binders and Binder Accessories
186,Accessory29,Bryan Mills,20263,20.99,1.25,Northwest Territories,Telephones and Communication
187,Newell 323,Adrian Hane,21285,1.68,1.57,Northwest Territories,Pens & Art Supplies
188,SANFORD Major Accent™ Highlighters,Adrian Hane,21285,7.08,2.35,Northwest Territories,Pens & Art Supplies
189,Polycom ViaVideo™ Desktop Video Communications Unit,Rick Reed,21383,574.74,24.49,Northwest Territories,Office Machines
190,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Heather Kirkland,21607,36.55,13.89,Northwest Territories,Pens & Art Supplies
191,Accessory24,Fred Wasserman,21636,55.99,3.3,Northwest Territories,Telephones and Communication
192,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Becky Castell,21889,51.75,19.99,Northwest Territories,Office Furnishings
193,Recycled Steel Personal File for Standard File Folders,Becky Castell,21889,55.29,5.08,Northwest Territories,Storage & Organization
194,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Beth Thompson,22151,9.65,6.22,Northwest Territories,Office Furnishings
195,Accessory39,Claudia Miner,22342,20.99,3.3,Northwest Territories,Telephones and Communication
196,Bell Sonecor JB700 Caller ID,Jack Lebron,22469,7.99,5.03,Northwest Territories,Telephones and Communication
197,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Alan Barnes,22501,7.64,1.39,Northwest Territories,Envelopes
198,GBC Standard Plastic Binding Systems Combs,Carlos Soltero,22532,8.85,5.6,Northwest Territories,Binders and Binder Accessories
199,Xerox 1930,Clay Rozendal,23264,6.48,6.81,Northwest Territories,Paper
200,Avery 474,Clay Rozendal,23264,2.88,0.99,Northwest Territories,Labels
201,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Julia West,23488,880.98,44.55,Northwest Territories,Bookcases
202,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Alan Barnes,23584,200.97,15.59,Northwest Territories,Office Machines
203,"IBM 80 Minute CD-R Spindle, 50/Pack",Joy Bell,24007,20.89,1.99,Northwest Territories,Computer Peripherals
204,"Peel & Seel® Recycled Catalog Envelopes, Brown",Joy Bell,24007,11.58,6.97,Northwest Territories,Envelopes
205,Avery 506,Joy Bell,24007,4.13,0.5,Northwest Territories,Labels
206,Prang Drawing Pencil Set,Jack Lebron,24038,2.78,1.34,Northwest Territories,Pens & Art Supplies
207,TDK 4.7GB DVD+RW,Anthony Johnson,24097,14.48,1.99,Northwest Territories,Computer Peripherals
208,U.S. Robotics 56K Internet Call Modem,Anthony Johnson,24097,99.99,19.99,Northwest Territories,Computer Peripherals
209,Xerox 190,Anthony Johnson,24097,4.98,4.86,Northwest Territories,Paper
210,Standard Line™ “While You Were Out” Hardbound Telephone Message Book,Eugene Barchas,24128,21.98,8.32,Northwest Territories,Paper
211,CF 888,Eugene Barchas,24128,195.99,3.99,Northwest Territories,Telephones and Communication
212,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Thomas Seio,24294,200.97,15.59,Northwest Territories,Office Machines
213,Dana Halogen Swing-Arm Architect Lamp,Bryan Mills,24387,40.97,14.45,Northwest Territories,Office Furnishings
214,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Bryan Mills,24387,349.45,60,Northwest Territories,Tables
215,Lexmark Z25 Color Inkjet Printer,Eugene Barchas,24515,80.97,33.6,Northwest Territories,Office Machines
216,Hon Multipurpose Stacking Arm Chairs,Sylvia Foulston,24743,216.6,64.2,Northwest Territories,Chairs & Chairmats
217,Hon Olson Stacker Stools,Sylvia Foulston,24743,140.81,24.49,Northwest Territories,Chairs & Chairmats
218,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Carl Ludwig,24871,22.72,8.99,Northwest Territories,Office Furnishings
219,12-1/2 Diameter Round Wall Clock,Julia West,25318,19.98,10.49,Northwest Territories,Office Furnishings
220,Epson DFX5000+ Dot Matrix Printer,Don Jones,25377,1500.97,29.7,Northwest Territories,Office Machines
221,"Fellowes Basic 104-Key Keyboard, Platinum",Mike Pelletier,25634,20.95,4,Northwest Territories,Computer Peripherals
222,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Mike Pelletier,25634,23.99,6.71,Northwest Territories,Envelopes
223,GBC Standard Therm-A-Bind Covers,Eugene Barchas,25733,24.92,12.98,Northwest Territories,Binders and Binder Accessories
224,"80 Minute CD-R Spindle, 100/Pack - Staples",Ann Chong,25767,39.48,1.99,Northwest Territories,Computer Peripherals
225,Xerox 1892,Ann Chong,25767,38.76,13.26,Northwest Territories,Paper
226,Staples Paper Clips,Charles McCrossin,26023,2.47,1.02,Northwest Territories,Rubber Bands
227,"Metal Folding Chairs, Beige, 4/Carton",Annie Cyprus,26051,33.94,19.19,Northwest Territories,Chairs & Chairmats
228,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Annie Cyprus,26051,8.33,1.99,Northwest Territories,Computer Peripherals
229,Computer Printout Paper with Letter-Trim Perforations,Carlos Soltero,26116,18.97,9.03,Northwest Territories,Paper
230,Bush Mission Pointe Library,Doug Bickford,26182,150.98,66.27,Northwest Territories,Bookcases
231,Hon Olson Stacker Stools,Carlos Daly,26272,140.81,24.49,Northwest Territories,Chairs & Chairmats
232,Xerox 1929,Fred Wasserman,26370,22.84,5.47,Northwest Territories,Paper
233,Home/Office Personal File Carts,Fred Wasserman,26370,34.76,5.49,Northwest Territories,Storage & Organization
234,Avery 507,Sylvia Foulston,26499,2.88,0.5,Northwest Territories,Labels
235,i470,Michelle Lonsdale,26531,205.99,5.26,Northwest Territories,Telephones and Communication
236,3M Organizer Strips,Sylvia Foulston,26567,5.4,7.78,Northwest Territories,Binders and Binder Accessories
237,"Imation 3.5 IBM Diskettes, 10/Box",Sylvia Foulston,26567,8.46,8.99,Northwest Territories,Computer Peripherals
238,"GE 4 Foot Flourescent Tube, 40 Watt",Sylvia Foulston,26567,14.98,8.99,Northwest Territories,Office Furnishings
239,300 Series Non-Flip,Sylvia Foulston,26567,155.99,8.08,Northwest Territories,Telephones and Communication
240,"Executive Impressions 13"" Chairman Wall Clock",Charlotte Melton,26854,25.38,8.99,Northwest Territories,Office Furnishings
241,Micro Innovations 104 Keyboard,Barry French,27109,10.97,6.5,Northwest Territories,Computer Peripherals
242,US Robotics 56K V.92 External Faxmodem,Heather Kirkland,27111,99.99,19.99,Northwest Territories,Computer Peripherals
243,Fellowes Staxonsteel® Drawer Files,Heather Kirkland,27111,193.17,19.99,Northwest Territories,Storage & Organization
244,Accessory39,Heather Kirkland,27111,20.99,3.3,Northwest Territories,Telephones and Communication
245,Telescoping Adjustable Floor Lamp,Henry Goldwyn,27264,19.99,11.17,Northwest Territories,Office Furnishings
246,Canon MP41DH Printing Calculator,Frank Price,27392,150.98,13.99,Northwest Territories,Office Machines
247,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Jim Radford,27553,370.98,99,Northwest Territories,Storage & Organization
248,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Jim Radford,27553,179.99,13.99,Northwest Territories,Telephones and Communication
